Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
342_42week,6,9,4,2,6,3,32.8,39.96,22.04,10.24,26.36,32.72,15.5892,17.3969,12.7685,11.4515,12.0835,10.2505,6.333333333,31.6,15.25153333,3.666666667,23.10666667,11.26183333,5,27.35333333,13.25668333
343_42week,4,4,5,0,8,1,40.52,25.76,28.84,5.76,25.6,6.72,11.889,10.5274,11.7171,9.17976,14.5514,12.7664,4.333333333,31.70666667,11.37783333,3,12.69333333,12.16585333,3.666666667,22.2,11.77184333
344_42week,2,9,3,4,4,4,20.76,29.52,17.56,18.72,11.72,4.16,13.2228,16.6248,15.0311,15.4179,14.4966,22.0098,4.666666667,22.61333333,14.95956667,4,11.53333333,17.3081,4.333333333,17.07333333,16.13383333
345_42week,6,8,8,0,6,3,46.48,32.4,30.96,4.08,29.8,40.6,13.5116,13.1459,11.0332,8.72719,9.3749,7.59626,7.333333333,36.61333333,12.56356667,3,24.82666667,8.566116667,5.166666667,30.72,10.56484167
346_42week,5,0,2,0,5,6,13.36,5.84,12.84,2.08,18.64,30.44,14.2552,14.0012,16.0983,11.2615,16.1011,16.0638,2.333333333,10.68,14.7849,3.666666667,17.05333333,14.47546667,3,13.86666667,14.63018333
347_42week,8,10,2,0,1,1,42.4,17.44,15.2,8.96,6.48,3.68,16.2915,20.2916,11.4545,10.1037,13.2708,11.5812,6.666666667,25.01333333,16.01253333,0.666666667,6.373333333,11.6519,3.666666667,15.69333333,13.83221667
348_42week,5,7,6,0,8,2,36.92,24.84,35.6,21.84,25,5.84,12.9639,16.0064,12.105,8.4078,11.1024,12.0387,6,32.45333333,13.69176667,3.333333333,17.56,10.5163,4.666666667,25.00666667,12.10403333
349_42week,8,7,4,7,0,1,41.6,31.76,32.92,19.32,5.52,4,13.3952,15.4382,10.1359,12.0858,9.00194,12.2529,6.333333333,35.42666667,12.98976667,2.666666667,9.613333333,11.11354667,4.5,22.52,12.05165667
350_42week,4,10,4,5,4,4,45.56,33.52,33.72,24.2,23.16,26.4,11.5685,15.2202,9.41321,11.6268,10.7956,9.98411,6,37.6,12.06730333,4.333333333,24.58666667,10.80217,5.166666667,31.09333333,11.43473667
351_42week,7,8,8,3,6,5,30.2,36.68,33.64,8.32,17.92,18.52,16.6909,17.0531,15.053,12.5821,11.8097,12.2572,7.666666667,33.50666667,16.26566667,4.666666667,14.92,12.21633333,6.166666667,24.21333333,14.241
352_42week,6,0,4,10,8,6,26.12,1.2,17.6,37.8,28.08,20.68,14.0147,13.9881,16.1043,17.2151,14.4828,15.1522,3.333333333,14.97333333,14.70236667,8,28.85333333,15.6167,5.666666667,21.91333333,15.15953333
353_42week,8,7,8,3,1,5,33.16,36.12,35.6,20.88,6.08,21.12,12.936,15.0812,14.6627,13.3334,11.6889,14.0312,7.666666667,34.96,14.22663333,3,16.02666667,13.01783333,5.333333333,25.49333333,13.62223333
354_42week,7,4,7,5,5,5,40.32,15,25.08,14.12,18.08,19.44,14.9907,18.4193,15.5927,16.9286,16.6882,14.7523,6,26.8,16.33423333,5,17.21333333,16.12303333,5.5,22.00666667,16.22863333
355_42week,4,0,2,0,2,7,20.44,15.32,13.48,3.72,7.36,27.08,14.5175,10.4529,13.3309,11.841,14.4324,16.8428,2,16.41333333,12.7671,3,12.72,14.37206667,2.5,14.56666667,13.56958333
